# Метеостанция Нижний Новгород / Нагорный, Россия, WMO_ID=27562, выборка с 16.06.2017 по 16.06.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27562&lang=ru
#
"Местное время в Нижнем Новгороде / Нагорном";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.06.2018 06:00";"13.2";"753.1";"765.0";"";"65";"Ветер, дующий с северо-запада";"1";"2";"3";"";" ";"";"";"10.1";"";"";"";"";"";"";"";"6.7";"Осадков нет";"12";"";"";"";"";
"16.06.2018 03:00";"10.7";"752.6";"764.6";"";"69";"Ветер, дующий с северо-запада";"3";"3";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"16.06.2018 00:00";"12.7";"752.2";"764.2";"";"57";"Ветер, дующий с северо-запада";"2";"3";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"15.06.2018 21:00";"14.0";"751.9";"763.9";"";"50";"Ветер, дующий с северо-северо-запада";"2";"2";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"15.06.2018 18:00";"16.1";"752.2";"763.9";"";"41";"Ветер, дующий с севера";"2";"4";"7";"";" ";"";"";"";"18.4";"";"";"";"";"";"";"2.6";"Осадков нет";"12";"";"";"";"";
"15.06.2018 15:00";"16.5";"752.3";"764.1";"";"38";"Ветер, дующий с северо-северо-запада";"3";"7";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"15.06.2018 12:00";"16.1";"752.7";"764.5";"";"35";"Ветер, дующий с северо-северо-востока";"2";"6";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"15.06.2018 09:00";"13.9";"753.0";"764.9";"";"39";"Ветер, дующий с северо-северо-востока";"2";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"0.0";"";"";"";"";"";"";
"15.06.2018 06:00";"9.3";"752.8";"764.8";"";"69";"Ветер, дующий с запада";"1";"1";"3";"";" ";"";"";"6.7";"";"";"";"";"";"";"";"3.9";"Осадков нет";"12";"";"";"";"";
"15.06.2018 03:00";"7.2";"752.0";"764.2";"";"70";"Ветер, дующий с северо-востока";"1";"";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";
"15.06.2018 00:00";"9.9";"751.1";"763.2";"";"59";"Ветер, дующий с севера";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"14.06.2018 21:00";"12.2";"750.1";"762.0";"";"49";"Ветер, дующий с севера";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"1.6";"";"";"";"";"";"";
"14.06.2018 18:00";"15.6";"749.5";"761.2";"";"39";"Ветер, дующий с северо-запада";"2";"5";"10";"";" ";"";"";"";"15.9";"";"";"";"";"";"";"1.7";"Осадков нет";"12";"";"";"";"";
"14.06.2018 15:00";"14.7";"749.2";"761.0";"";"47";"Ветер, дующий с северо-запада";"4";"7";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"14.06.2018 12:00";"12.3";"748.9";"760.8";"";"56";"Ветер, дующий с северо-северо-запада";"2";"5";"8";"";" ";"";"";"";"";"";"";"";"";"";"";"3.8";"";"";"";"";"";"";
"14.06.2018 09:00";"10.0";"748.2";"760.2";"";"62";"Ветер, дующий с северо-северо-запада";"3";"5";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"14.06.2018 06:00";"8.7";"747.1";"759.1";"";"68";"Ветер, дующий с северо-северо-запада";"3";"5";"6";"";" ";"";"";"8.2";"";"";"";"";"";"";"";"3.1";"Осадков нет";"12";"";"";"";"";
"14.06.2018 03:00";"8.4";"745.6";"757.6";"";"77";"Ветер, дующий с севера";"2";"5";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"14.06.2018 00:00";"9.5";"744.4";"756.3";"";"67";"Ветер, дующий с северо-северо-запада";"3";"6";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"";"";"";"";"";"";
"13.06.2018 21:00";"11.7";"742.6";"754.4";"";"66";"Ветер, дующий с северо-северо-запада";"5";"12";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"13.06.2018 18:00";"16.5";"740.0";"751.6";"";"61";"Ветер, дующий с северо-северо-запада";"5";"10";"12";"";" ";"";"";"";"20.3";"";"";"";"";"";"";"8.9";"5.0";"12";"";"";"";"";
"13.06.2018 15:00";"18.2";"737.2";"748.6";"";"78";"Ветер, дующий с западо-северо-запада";"4";"9";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"13.06.2018 12:00";"18.1";"736.1";"747.6";"";"72";"Ветер, дующий с западо-юго-запада";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
